RiskDecile,Policies,Exposure,RecordedClaims,LinkedClaims,PredictedLoss,ObservedLoss,MeanAnnualPremium,PredictedClaims,AverageObservedSeverity,ObservedLossCost,ExpectedLossCost,RelativeObservedLossCost,ObservedExpectedLossRatio
1,13561,8792.121022531626,455,305,233851.98241716594,1362196.17,26.79283,,4466.216950819672,154.93373743481132,26.59790303362203,0.9346620095040903,5.825035802219515
2,13560,8142.381717194401,600,365,364468.03522895626,681183.89,44.83474,,1866.2572328767124,83.65904641408949,44.7618458441101,0.5046862854353377,1.8689811565288164
3,13560,7849.52645707014,641,400,451318.10821871046,811250.33,57.571373,,2028.1258249999998,103.35022557562047,57.49622103792059,0.6234764042909251,1.7975133619209114
4,13561,7593.680235796092,633,403,527112.6579226098,701217.16,69.45676,,1739.9929528535981,92.34220275624854,69.41465028219605,0.5570687844957202,1.3302984655378016
5,13560,7176.528793322854,674,447,587711.5094755292,731709.68,81.97246,,1636.9344071588368,101.95871863299612,81.89356252877359,0.6150819209668563,1.245015059604625
6,13560,6837.056781196197,654,458,659190.0106496577,704910.84,96.44475,,1539.1066375545852,103.10150442785562,96.41429517780415,0.6219759550561426,1.0693591052832894
7,13561,6576.905388127854,671,480,757102.4702583378,882130.2,115.17597,,1837.77125,134.12542038271624,115.11530508330004,0.8091325815543352,1.1651397725581325
8,13560,6337.7897424956955,703,555,905110.7789371263,1097066.82,142.95827,,1976.696972972973,173.09927665224137,142.81173969345213,1.0442484667199199,1.2120801624838544
9,13560,6264.7061456695865,865,756,1191436.0775391005,1465794.57,190.28596,,1938.8817063492065,233.97658819372006,190.18227668390614,1.4115003724741826,1.2302754613806763
10,13560,6025.496823115503,1345,1231,2464262.357192558,3430644.1799999997,437.0421,,2786.8758570268074,569.3545745205744,408.9724763838483,3.434720542810447,1.3921586595626956
