RiskDecile,Policies,Exposure,RecordedClaims,LinkedClaims,PredictedLoss,ObservedLoss,MeanAnnualPremium,PredictedClaims,AverageObservedSeverity,ObservedLossCost,ExpectedLossCost,RelativeObservedLossCost,ObservedExpectedLossRatio
1,13561,8500.20605135115,389,351,582310.4684300094,584058.65,68.87467815600189,347.4382106331863,1663.9847578347578,68.71111670371344,68.50545326927084,0.41451056094599315,1.0030021469040458
2,13560,7907.3188853956135,420,345,750976.1543650515,1374682.7,95.03007896794685,438.11529249605525,3984.587536231884,173.84940710295166,94.9722864664107,1.0487737460171167,1.8305277631115875
3,13560,7615.264930758291,474,387,856323.4645686212,585688.45,112.43339762083303,493.2463298405758,1513.4068475452195,76.90979307028259,112.44828280496247,0.4639703587597226,0.6839570258594333
4,13561,7663.919284377574,550,446,980189.9911869148,790990.31,127.87670086718406,560.1034742963598,1773.520874439462,103.2096347377229,127.89670073704607,0.6226282680667375,0.806976522013031
5,13560,7452.079630211842,576,423,1067391.8202017723,743002.06,143.2762068203616,594.9913927795096,1756.5060520094564,99.70398826493465,143.23408674732977,0.6014799072828519,0.6960912065632545
6,13560,7285.979817351598,644,511,1176635.893840675,935053.37,161.5237525336963,632.5376823647414,1829.8500391389432,128.33598135602375,161.49315855068807,0.7742068849037488,0.7946837036798853
7,13561,7260.11060633281,718,528,1337901.3688305528,1198731.36,184.3615747219731,687.4399525336638,2270.324545454546,165.11199691012658,184.28112757173912,0.9960639521149106,0.8959788725291462
8,13560,6674.832437308181,761,614,1453722.6795173974,1149682.96,218.09401866694876,734.7316013926978,1872.4478175895765,172.24147134750288,217.79163644498212,1.0390736220207302,0.7908543879783648
9,13560,6284.579047084362,948,804,1833036.6859232676,1671910.65,293.0029293047146,924.3161474081876,2079.490858208955,266.03383257239136,291.6721505434287,1.604890714346878,0.9120988482333012
10,13560,4951.902416348529,1761,991,3743721.460677676,2834303.33,816.0637773944087,1784.2793110080022,2860.0437235116046,572.3665556580131,756.0168084730251,3.452890790227936,0.7570817860704157
