RiskDecile,Policies,Exposure,RecordedClaims,LinkedClaims,PredictedLoss,ObservedLoss,MeanAnnualPremium,PredictedClaims,AverageObservedSeverity,ObservedLossCost,ExpectedLossCost,RelativeObservedLossCost,ObservedExpectedLossRatio
1,13561,8082.102831050228,473,395,651370.3405183716,660300.55,80.65464474784784,470.25031918005186,1671.6469620253165,81.69910279577542,80.5941664112345,0.4928626189367552,1.0137098804261209
2,13560,8081.634656785687,557,451,904305.2980520662,1065146.17,111.88491682004098,561.9550677949421,2361.7431707317073,131.79835704471714,111.89633489467043,0.7950942079131347,1.177861251387552
3,13560,8037.843637996856,604,482,1067761.7236065855,1195589.25,132.81866463439488,614.8344260146096,2480.475622406639,148.74502464170325,132.84181326432056,0.8973276313936814,1.119715404258593
4,13561,7850.906693614792,643,482,1196143.9140477723,779854.41,152.40559632950755,649.335326342478,1617.9552074688797,99.33303762663007,152.3574232541327,0.599242089524338,0.6519737306198874
5,13560,7550.277971405046,647,484,1307123.1680446125,971493.97,173.11549274234756,674.4165382309006,2007.2189462809918,128.66996071923597,173.12252250778621,0.7762216676613403,0.7432306256596338
6,13560,7328.865507897298,746,515,1441830.6878415893,2134219.83,196.85537648226082,710.8046848458058,4144.116174757281,291.20739460974534,196.73313506543803,1.756754165585889,1.4802152901842536
7,13561,6824.502935099933,750,513,1551481.0128103762,891548.49,227.58364893884422,720.8957563499257,1737.9112865497075,130.63932984988082,227.3397824815585,0.7881021950376215,0.5746435068419146
8,13560,6443.743854330414,861,599,1759619.3367449862,1057173.92,273.42168221162746,762.5447856561609,1764.8980300500834,164.06206452317983,273.0740663383853,0.9897300707352017,0.6007969439319769
9,13560,5933.944715921851,806,598,2149278.456549395,1464959.91,362.8466126812647,837.0499990583011,2449.765735785953,246.87791682137626,362.20062023538753,1.4893296557538904,0.6816054502086022
10,13560,5462.370302417846,1154,881,3786883.2569286954,1647817.34,696.1117332966003,1194.1849144855655,1870.3942565266743,301.6670875042316,693.267399914737,1.8198538993263826,0.43513814084050795
