RiskDecile,Policies,Exposure,RecordedClaims,LinkedClaims,PredictedLoss,ObservedLoss,MeanAnnualPremium,PredictedClaims,AverageObservedSeverity,ObservedLossCost,ExpectedLossCost,RelativeObservedLossCost,ObservedExpectedLossRatio
1,13561,8722.690761284528,427,344,865551.8300574046,535087.7,99.2623744652966,451.14142356812056,1555.4875,61.34433910863549,99.2299112447202,0.37006932261672143,0.6182041114331792
2,13560,8472.505510891533,551,426,1102581.3795985377,799466.64,130.24699067079985,553.0037840086039,1876.6822535211268,94.36012038850534,130.13640158523978,0.5692421883030894,0.7250862882258131
3,13560,8379.593640242532,642,517,1277599.28568719,885200.92,152.5115813550554,624.0446183664895,1712.1874661508705,105.6376905616129,152.46554195081615,0.6372758946787271,0.6928627230124598
4,13561,8132.047633056366,697,543,1414933.7336454447,1163201.66,174.0452081405472,671.7257357169952,2142.1761694290976,143.03920887915652,173.99476706134996,0.8629064051663988,0.8220891426506027
5,13560,7801.647911520324,694,542,1545372.8143757123,903704.15,198.2005888449707,712.9133452251739,1667.3508302583027,115.8350338606723,198.08287068347875,0.6987929634418307,0.5847806701356212
6,13560,7157.314160491054,697,544,1623411.9990793574,2478658.83,227.1116430166014,720.6555086803909,4556.358143382353,346.31130818350755,226.8186029950622,2.0891771448873633,1.5268205676720734
7,13561,6488.357510292686,753,567,1703511.1337701983,1135815.13,262.90134351000785,723.7347073608272,2003.2012874779539,175.0543382047337,262.5489010227727,1.0560426813926636,0.6667494608539611
8,13560,5768.174783292163,774,518,1773095.9867401936,1019390.47,307.7120379958035,720.9365992703302,1967.9352702702702,176.72669575698725,307.3929021492317,1.066131439956668,0.5749211986397487
9,13560,5470.4316573096785,842,574,2064697.3381864203,1402030.91,377.7699766363128,804.0704428243124,2442.56256097561,256.2925556572092,377.42859568084333,1.54612493739329,0.679049119727887
10,13560,5203.429538139082,1164,825,3502446.6714112097,1545547.43,669.2435487590042,1214.0456529374974,1873.390824242424,297.0247638930725,673.1035071657375,1.7918483558791403,0.44127650611087427
