RiskDecile,Policies,Exposure,RecordedClaims,LinkedClaims,PredictedLoss,ObservedLoss,MeanAnnualPremium,PredictedClaims,AverageObservedSeverity,ObservedLossCost,ExpectedLossCost,RelativeObservedLossCost,ObservedExpectedLossRatio
1,13561,7375.755914364848,498,310,464950.19880940346,959795.26,62.98150410768048,,3096.113741935484,130.12839241747758,63.037633594121175,0.7850198850436357,2.064296912782799
2,13560,7729.962337749832,607,383,604906.6884669642,831366.9,78.28147516146963,,2170.6707571801567,107.55122259004541,78.25480410336004,0.6488195760005419,1.374372140117944
3,13560,7783.853199341268,624,429,691322.8941125723,1117233.76,88.8142193143705,,2604.274498834499,143.53222387268934,88.81499643018417,0.8658805952440436,1.6160809507605776
4,13561,7862.950526985553,701,480,778145.6571599895,726370.25,98.94244635475128,,1513.2713541666667,92.37884017037955,98.96357028947376,0.5572898054281632,0.9334630905106442
5,13560,7824.824028744666,592,433,862020.8912524397,570288.38,110.20430582231046,,1317.063233256351,72.88194314722388,110.16489164303078,0.4396717239665683,0.6615714140888415
6,13560,7638.590848117374,731,489,946523.1228374778,864956.48,123.9405265709206,,1768.8271574642126,113.23508448069049,123.9133161675704,0.6831083620610297,0.9138249865539912
7,13561,7315.26858148065,699,539,1058521.8516560323,1127873.8499999999,144.9614384869799,,2092.5303339517623,154.18078467485498,144.70034009903458,0.9301197041848337,1.0655177767331567
8,13560,6658.912835541582,829,687,1230400.027717412,2224779.76,185.3870483221206,,3238.398486171761,334.1055537062086,184.77491117622372,2.015544021487975,1.8081759670692796
9,13560,6039.458746163635,815,668,1681010.7112462355,1291168.54,279.50107972561074,,1932.8870359281439,213.78878377473345,278.3379739639817,1.2897142840590325,0.768090608442809
10,13560,5366.6160880305415,1145,982,3470989.9527804856,2154270.66,638.2906931247264,,2193.7583095723016,401.4206763932282,646.7744097667104,2.4216330301336004,0.6206502148686115
